ID ;Administracion;ID Colegio;Colegio;Cant de estudiantes;Promedio PSU;Promedio NEM
1;Municipal;1;Liceo Politécnico Arica;119;415,9602273;5,585470081
1;Municipal;2;Liceo Octavio Palma Pérez;515;510,3201357;5,989161807
1;Municipal;3;Jovina Naranjo Fernández;199;471,4647059;5,530867343
1;Municipal;4;Liceo Politécnico Antonio Varas de la Barra;227;412,0555556;5,689030843
1;Municipal;5;Colegio Integrado Eduardo Frei Montalva;111;458,6666667;5,494234266
1;Municipal;6;Liceo Artístico Dr. Juan Noé Crevani;42;454,5;5,576190517
1;Municipal;7;Escuela Ricardo Silva Arriagada;43;394,1571429;5,635476215
1;Municipal;8;Liceo Agrícola José Abelardo Núñez M.;23;414,3947368;5,747391328
1;Municipal;9;Liceo Granaderos;64;419,4038462;5,386562519
1;Municipal;10;Instituto Comercial de Iquique Baldomero Wolnitzky;102;430,8488372;5,485199995
1;Municipal;11;Escuela Educación General Básica y Desarrollo Artístico Violeta Parra;44;429,6756757;5,690681848
1;Municipal;12;Liceo Libertador General Bernardo O'Higgins;190;497,2878788;5,708770071
1;Municipal;13;Liceo Politécnico José Gutiérrez de la Fuente;63;401,8679245;5,404333361
1;Municipal;14;Liceo Elena Duvauchelle Cabezón;43;407;5,375238123
1;Municipal;15;Liceo Bicentenario Domingo Santa María de Iquique;33;497,25;5,858787883
1;Municipal;16;Liceo Comercial y Técnico Arturo Prat Chacón;1;;6,179999828
1;Municipal;17;Liceo Luis Cruz Martínez (IQUIQUE);250;430;5,534170048
1;Municipal;18;Escuela Profesor Manuel Castro Ramos;25;489,32;5,513749977
1;Municipal;19;Liceo de Huara;15;378,2307692;5,622666613
1;Municipal;20;Liceo Técnico Profesional Colchane;3;370,1666667;5,49333334
1;Municipal;21;Liceo Alcalde Sergio González Gutiérrez;142;429,5;5,761134763
1;Municipal;22;Liceo Domingo Latrille Lastaunou;91;368,3125;5,455384637
1;Municipal;23;Liceo Politécnico Diego Portales P.;76;417,1311475;5,499736817
1;Municipal;24;LICEO  H.C. T.P.  MARIA ELENA;64;457,3839286;5,89453128
1;Municipal;25;Liceo Luis Cruz Martínez (CALAMA);388;561,5879765;5,598578819
1;Municipal;26;Liceo Francisco de Aguirre;115;432,0147059;5,306695669
1;Municipal;27;Liceo Politécnico Cesáreo Aguirre G.;165;432,0925926;5,285975607
1;Municipal;28;Liceo Minero América;323;457,0341727;5,520402498
1;Municipal;29;Centro Educacional Integral de Adultos;218;420,8202614;5,437972337
1;Municipal;30;Escuela República de Ecuador;1;;5,369999886
1;Municipal;31;Liceo Industrial Eulogio Gordo Moneo;414;439,1477612;5,692971019
1;Municipal;32;Liceo Comercial Jerardo Muñoz Campo;283;444,2657005;5,458794335
1;Municipal;33;Liceo Antonio Rendic I. Anexo Centro Rehabilitación Social;8;377,3;5,810000002
1;Municipal;34;Liceo Técnico de Antofagasta;184;413,1273292;5,540604405
1;Municipal;35;Liceo de Hombres de Antofagasta Mario Bahamonde Silva;127;442,6485149;5,357874033
1;Municipal;36;Liceo Marta Narea Díaz;130;451,2631579;5,506250028
1;Municipal;37;Liceo La Portada;87;391,8305085;5,396860489
1;Municipal;38;Liceo Domingo Herrera Rivera;323;474,0463918;5,650123841
1;Municipal;39;Liceo Andrés Sabella;207;507,0241935;5,971304364
1;Municipal;40;Complejo Educativo Juan José Latorre Benavent;95;427,7151899;5,873052652
1;Municipal;41;Liceo Politécnico José Miguel Quiroz;69;413,509434;5,991449315
